Titles,Domestic gross total,Genre,Release Date,Number of Theaters,Production budget,Number of views,Number of editors,Number of edits
Star Wars: The Last Jedi,"$620,181,382",Sci-Fi Fantasy,"December 15, 2017",N/A,"4,232",0.11737554713471554,0.684968744374135,0.4376110596596504
Beauty and the Beast (2017),"$504,014,165",Fantasy,"March 17, 2017",$160 million,"4,210",0.5854451165110357,0.16198510384493825,0.5207187880526836
Wonder Woman,"$412,563,408",Action / Adventure,"June 2, 2017",$149 million,"4,165",0.516502297991861,0.38304812816936906,0.9975408958775808
Jumanji: Welcome to the Jungle,"$404,515,480",Action,"December 20, 2017",$90 million,"3,849",0.43693512529224887,0.28170075378898063,0.9002743380567129
Guardians of the Galaxy Vol. 2,"$389,813,101",Action / Adventure,"May 5, 2017",$200 million,"4,347",0.7452838317804862,0.8283462535733034,0.8236944519250492
Spider-Man: Homecoming,"$334,201,140",Action / Adventure,"July 7, 2017",$175 million,"4,348",0.8832009558840542,0.29543189013568993,0.5123759884616795
It,"$327,481,748",Horror,"September 8, 2017",$35 million,"4,148",0.3310438226975936,0.6798515871831774,0.5092130794607137
Thor: Ragnarok,"$315,058,289",Action / Adventure,"November 3, 2017",$180 million,"4,080",0.8251389638581726,0.7125517536588033,0.09793715214676801
Despicable Me 3,"$264,624,300",Animation,"June 30, 2017",$80 million,"4,535",0.2519372628606047,0.027473941374380195,0.20625729961374029
Justice League,"$229,024,295",Action / Adventure,"November 17, 2017",N/A,"4,051",0.7669943292836144,0.335365849068224,0.47239795478750024
https://www.boxofficemojo.com/movies/?id=wolverine2017.htm,0.21506437107336818,0.9120939993482243,0.7592076514417425,0.6765613576725774,0.021376281366212724,0.6608743268938546,0.094439590374785,0.8311625697859529
https://www.boxofficemojo.com/movies/?id=furious8.htm,0.11274904240000116,0.5668296093599882,0.17462608677822655,0.7906066290530853,0.033682798780728995,0.7959711823591975,0.6894372729004399,0.4918456636903529
https://www.boxofficemojo.com/movies/?id=pixar1117.htm,0.08855376970060502,0.9375502625627335,0.0843622262855469,0.4693936699909217,0.8056126484520902,0.08564645309057428,0.24437951602435493,0.8928055864110915
https://www.boxofficemojo.com/movies/?id=chrisnolan2017.htm,0.47861108066366376,0.19040067625794943,0.25304423289892997,0.7623392476916406,0.9585402388542027,0.762317523333699,0.3200071264548999,0.7915814055455913
https://www.boxofficemojo.com/movies/?id=blumhouse2.htm,0.4895210483183816,0.29635068449949553,0.6019612076672751,0.22195087706133376,0.3860726209243748,0.006597664201326903,0.3581746375941489,0.19671433235614422
https://www.boxofficemojo.com/movies/?id=lego2.htm,0.40962176915753945,0.10956164233446897,0.08570312337117136,0.7475955037311852,0.18300984615728033,0.015087390905166198,0.9137511872205651,0.9259405376760327
https://www.boxofficemojo.com/movies/?id=bossbaby.htm,0.5828703770935633,0.31261954974745043,0.9982675680119899,0.15001405082385155,0.9944814722908323,0.12496399018079785,0.3510546414045185,0.5310583246744428
https://www.boxofficemojo.com/movies/?id=greatestshowman.htm,0.3236036385238463,0.806417367773567,0.9603192596307932,0.5394744309726107,0.49932527745900834,0.801123907138369,0.7970989519399762,0.11986628696399715
https://www.boxofficemojo.com/movies/?id=potc5.htm,0.2459858565996741,0.626783088269643,0.37725025715584737,0.06345742593276682,0.37319863068117876,0.07411585222570116,0.04444198706739688,0.2930118811346868
https://www.boxofficemojo.com/movies/?id=legendary2016.htm,0.7545425211849653,0.9532474214057496,0.5887485227251591,0.9879402670670555,0.19807449786873876,0.04296878218210631,0.38370420165888686,0.7809414285153898
https://www.boxofficemojo.com/movies/?id=cars3.htm,0.7631174432843942,0.8642419731112929,0.5372399039534632,0.5266766957283981,0.8159569701371645,0.12912113846325912,0.7202795356723456,0.06683133145592302
https://www.boxofficemojo.com/movies/?id=planetoftheapes16.htm,0.01534090572860014,0.5462040349499933,0.09218890863291451,0.17170437946794403,0.3336039494667591,0.11671916814082994,0.562586703539477,0.41093136589408796
https://www.boxofficemojo.com/movies/?id=split2017.htm,0.28584169213022836,0.3981472048978115,0.4272124429843197,0.8858256316820209,0.4370513433075318,0.6170603100656888,0.05532146800472615,0.928543776915434
https://www.boxofficemojo.com/movies/?id=wonder.htm,0.7572593796835329,0.9758807191470513,0.2516588486426602,0.9681493711346337,0.13996874216213195,0.7118132213261392,0.06917660160030148,0.6050391293007165
https://www.boxofficemojo.com/movies/?id=transformers5.htm,0.05952488938339007,0.362887120491038,0.2584735145686684,0.02612698446065609,0.7325797418761093,0.45145854848872025,0.8631900153867232,0.5299239580039274
https://www.boxofficemojo.com/movies/?id=girltrip.htm,0.8489658403004018,0.31943560507843716,0.3195982637534255,0.2603223447124632,0.42498833052394713,0.8923673833105924,0.47970618370144535,0.3485713543475423
https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm,0.6821532791016668,0.16201095566638912,0.9488359434242292,0.4709917683018293,0.8197366489163608,0.07085548628776739,0.10641362333582116,0.5076980157268141
https://www.boxofficemojo.com/movies/?id=babydriver.htm,0.43163878973926906,0.393481228271254,0.4638557171162767,0.4881375470214211,0.3173645436378586,0.5370197145198317,0.7603021024375729,0.8661409265480368
https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm,0.7987268314889757,0.028147397395793083,0.5256924710508425,0.6706003110033836,0.37521484067374167,0.07520348541365707,0.6690645051338189,0.5903303447221735
https://www.boxofficemojo.com/movies/?id=daddyshome2.htm,0.734630016895089,0.36694608200347556,0.007530155344974587,0.28930037596339264,0.4023605568193692,0.6289274014495723,0.4505025950916075,0.45365097483915073
https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm,0.020099581590442117,0.9625125244698763,0.6863813543914089,0.46171619925580054,0.25667302134099035,0.4213455714087472,0.419190816155518,0.5514063710686972
https://www.boxofficemojo.com/movies/?id=annabelle2.htm,0.6580479516028851,0.2783441594158823,0.24671791585865965,0.6481436258203351,0.03321087153118785,0.8800916221740238,0.4014613360818159,0.8222167917657959
https://www.boxofficemojo.com/movies/?id=kingsman2.htm,0.7389446343445876,0.7487860729745276,0.06081313391837573,0.9653648704234972,0.647643406842261,0.6788769139294726,0.35545505249161335,0.16482760696260979
https://www.boxofficemojo.com/movies/?id=bladerunnersequel.htm,0.04082397348200506,0.5468547151578996,0.9960760285310238,0.5128585853732388,0.6466143359643496,0.5762112853582014,0.941954458633514,0.5827033612594237
https://www.boxofficemojo.com/movies/?id=johnwick2.htm,0.48415337861871954,0.40802806955274074,0.13619478577241206,0.15854688756779856,0.8298302395464245,0.1774285786527532,0.24322741820054283,0.2058151816524727
https://www.boxofficemojo.com/movies/?id=theemojimovie.htm,0.7998638120484061,0.4644779566340892,0.02142979193982475,0.27403255880967436,0.12763864069493802,0.5975656347814553,0.41980795312157015,0.2648385295164015
https://www.boxofficemojo.com/movies/?id=powerrangers16.htm,0.15721783490651953,0.4214673070001459,0.8713314565228656,0.44851026250835,0.7664575611299399,0.6055093550556958,0.7595070423901247,0.45279447758164826
https://www.boxofficemojo.com/movies/?id=ferdinand.htm,0.7164374401539567,0.7582587193546259,0.1812639688338713,0.30575788759995337,0.5044418838788813,0.021023695686286814,0.45340013425796677,0.4474352237283937
https://www.boxofficemojo.com/movies/?id=untitledstevenspielberg.htm,0.6602147828933472,0.16047642300704412,0.807427580472023,0.475454180186624,0.3033744842172814,0.30460178574665486,0.5618372421575157,0.9526049376318689
https://www.boxofficemojo.com/movies/?id=mummy2016.htm,0.5428467733243169,0.7364942463461907,0.7426382807139799,0.976119952628273,0.3692358729312163,0.9354872346228268,0.5862360939918304,0.9265653947877035
https://www.boxofficemojo.com/movies/?id=hitmansbodyguard.htm,0.9168884151615299,0.24278543640438444,0.11079463985549487,0.22919910453538328,0.7612646699884872,0.557506852529867,0.7749918011400503,0.6224364118600235
https://www.boxofficemojo.com/movies/?id=alienparadiselost.htm,0.05483487675970411,0.038410046716164215,0.907470308268945,0.8776788575911957,0.7344289580297825,0.9572006449327792,0.08155909636179282,0.5432062952920611
https://www.boxofficemojo.com/movies/?id=captainunderpants.htm,0.2152787714925718,0.6873153154349606,0.5325590122412782,0.13504762606850718,0.4687513246944429,0.40526494594711626,0.6586373816838432,0.4530656110604985
https://www.boxofficemojo.com/movies/?id=badmomschristmas.htm,0.8067362027795201,0.9926068414156352,0.09327773326679079,0.8271329835462156,0.3658874194453743,0.9243538314222987,0.6162527129513438,0.40820335789247264
https://www.boxofficemojo.com/movies/?id=adogspurpose.htm,0.30535195243441104,0.4584644806811633,0.5491229456732276,0.6606403654842613,0.845359093410718,0.5570696074757083,0.8956752574606683,0.5461791859432318
https://www.boxofficemojo.com/movies/?id=theshapeofwater.htm,0.819158661294574,0.5381873792751026,0.5107897998488097,0.8061547266492252,0.38551480926448256,0.16357748341801026,0.4429917241014807,0.5760085114837215
https://www.boxofficemojo.com/movies/?id=ninjago.htm,0.09386332278357745,0.673911018404158,0.1496302430229639,0.15401133266563227,0.5407524404420014,0.9878368625602798,0.4413076391981521,0.8108044424868079
https://www.boxofficemojo.com/movies/?id=baywatch.htm,0.26280502342274603,0.261183090309954,0.94488066089459,0.16844578161408763,0.3428221426434692,0.5017424032444602,0.8709120118285405,0.6255482611643565
https://www.boxofficemojo.com/movies/?id=theshack.htm,0.5475435201764297,0.2906694676828022,0.6169773883553294,0.7460317225157674,0.9311487409708719,0.22420630362928462,0.08108000770069101,0.18412981122401406
https://www.boxofficemojo.com/movies/?id=darkesthour2017.htm,0.1384888909141182,0.4796998064626168,0.5113337129696532,0.9506169805373137,0.7958512195317452,0.8021208304701071,0.23494030947487787,0.06725497030390204
https://www.boxofficemojo.com/movies/?id=blumhousehorror2018.htm,0.03149565775280827,0.5774398443850759,0.16005091154160467,0.9688616558459507,0.13007220968407074,0.5109946569491535,0.9044681770286722,0.9029737555293093
https://www.boxofficemojo.com/movies/?id=threebillboards.htm,0.7653168699539199,0.677826791356557,0.10627389382533137,0.3946377052910679,0.09673246566119642,0.6156281372126303,0.9017005002266428,0.6041939937700495
https://www.boxofficemojo.com/movies/?id=thecoldestcity.htm,0.40772887871930275,0.47752820441262145,0.5697852311151902,0.8205245810550641,0.21260606154697081,0.3538791354886627,0.7986778575506138,0.4359335570524616
https://www.boxofficemojo.com/movies/?id=mena.htm,0.5501626020454112,0.15956802075668064,0.06139559201804734,0.24713067727439442,0.4919526550855682,0.9360444831885328,0.5687417686410756,0.46838153560328655
https://www.boxofficemojo.com/movies/?id=darktower.htm,0.97083883093404,0.9764474904905399,0.5280231943028334,0.86518462625847,0.869875247350638,0.7966151965559408,0.8052994779054325,0.3498671822560605
https://www.boxofficemojo.com/movies/?id=ladybird.htm,0.4747239021673195,0.7901169933551477,0.9731281087973805,0.48481601453189904,0.5170476899475323,0.036065578146655786,0.2329553667041162,0.988823948743203
https://www.boxofficemojo.com/movies/?id=amadeahalloween2.htm,0.40203287937805854,0.5285583951577839,0.8570467051601875,0.21456530539413798,0.09942443739190576,0.8634111019050119,0.42316937662949616,0.28994357742386945
https://www.boxofficemojo.com/movies/?id=motherdaughter.htm,0.502403531301203,0.5121090671629401,0.3688182018905566,0.8788388307647613,0.3118714968670868,0.8348395119971578,0.5306344588423572,0.43775278383937866
https://www.boxofficemojo.com/movies/?id=greatwall.htm,0.06493237601466306,0.758423411032904,0.19431592017726917,0.22506995255583329,0.6045233503705664,0.8905828844105639,0.6616066228572008,0.571229013131873
https://www.boxofficemojo.com/movies/?id=smurfs3.htm,0.461665540393672,0.8894714389870502,0.31863515003303877,0.10436693772801486,0.9717584137466125,0.4330856053957989,0.13482358083779933,0.836427501099597
https://www.boxofficemojo.com/movies/?id=goinginsty2017.htm,0.004500569533098964,0.4914742036208316,0.8370748923607135,0.7727521323323236,0.0008763918571776941,0.16131749444254895,0.9661880981742157,0.9032031577269531
https://www.boxofficemojo.com/movies/?id=tupac.htm,0.9969460568225625,0.35536466577640236,0.7778536651585287,0.7040126439060778,0.035468431895739005,0.028858899299473495,0.9429106869005641,0.014625467460416375
https://www.boxofficemojo.com/movies/?id=xxx3.htm,0.047020260934344416,0.14419247828599402,0.044177757510978743,0.838970708478417,0.03332598671294651,0.2778187985994873,0.8858701115102923,0.4151634001267682
https://www.boxofficemojo.com/movies/?id=47metersdown.htm,0.08573680789403415,0.7767036501380845,0.7926768633232321,0.0856503934257068,0.6356138534284019,0.8320989669257657,0.43498034834463983,0.33954823561040626
https://www.boxofficemojo.com/movies/?id=thebigsick.htm,0.2755320489151346,0.5804209453900548,0.38746025236854553,0.31853734484467777,0.38135444532829454,0.6742604547632023,0.9219008991281623,0.5695783781701181
https://www.boxofficemojo.com/movies/?id=valerian.htm,0.24055027240858418,0.8604495255492638,0.5659298367851973,0.43848026046125654,0.41414835499010916,0.5570003830031778,0.6017227524847211,0.7045159112588912
https://www.boxofficemojo.com/movies/?id=thelamb.htm,0.9651708607437056,0.5912049385206852,0.786954962208609,0.5411522179532172,0.8821115321582875,0.09653376842276828,0.8899750271601443,0.7981632170687791
https://www.boxofficemojo.com/movies/?id=ghostintheshell2017.htm,0.31983243673991435,0.5629867732516308,0.974245527806898,0.7112395964254072,0.1871164469165485,0.19568854418176151,0.6218499112245951,0.9894567066622711
https://www.boxofficemojo.com/movies/?id=kingarthur2016.htm,0.6809651061397693,0.3867341979247195,0.3190286471391831,0.9738167576412041,0.1413884178134538,0.5749410276402661,0.046766521588175736,0.06172746084912761
https://www.boxofficemojo.com/movies/?id=saw2017.htm,0.8387420712589254,0.21611468797485534,0.022658906476317076,0.389839949784056,0.20341307215019733,0.08239577223105099,0.5164005342953798,0.8275701418109567
https://www.boxofficemojo.com/movies/?id=americanassassin.htm,0.46002657737948427,0.6584361092999677,0.4779542900266758,0.974057699426869,0.8919979296826661,0.6115917789877748,0.5887965281369966,0.7386961486031781
https://www.boxofficemojo.com/movies/?id=theforeigner.htm,0.10862861975130955,0.42203524721492225,0.058626077270684473,0.8592198140815095,0.6502947561688514,0.3622723865354901,0.7501814639136638,0.5931059956758318
https://www.boxofficemojo.com/movies/?id=everythingeverything.htm,0.43279881375286267,0.8386094196136554,0.81519842989202,0.5882416661054632,0.2871374730551952,0.8706837003682664,0.17524972155598806,0.740209253625846
https://www.boxofficemojo.com/movies/?id=windriver.htm,0.7834734457179658,0.40247976235924543,0.35082538886641845,0.49486143929279214,0.25240970683385,0.08781356992772271,0.40244354854709663,0.6417810642215286
https://www.boxofficemojo.com/movies/?id=geostorm.htm,0.6243720310005982,0.9109286003005556,0.9740062252972396,0.89282827645903,0.7573318155775003,0.8052203251413415,0.236706014868733,0.8426689305327683
https://www.boxofficemojo.com/movies/?id=monstertrucks.htm,0.5474153145014274,0.5176659121924236,0.05344529889300531,0.30348101847988396,0.31534911879557115,0.47065548546782077,0.11958451001651416,0.1696737975887882
https://www.boxofficemojo.com/movies/?id=fistfight.htm,0.18779783861132038,0.06927260543003788,0.19190501548197159,0.6003658080447096,0.9126380431266444,0.7809522307862616,0.34719900065089127,0.10886956653636626
https://www.boxofficemojo.com/movies/?id=howtobealatinlover.htm,0.42695796039526945,0.21245668334578127,0.5797717630299458,0.28968613752080186,0.2429776662165548,0.6998551663165944,0.4823857335295012,0.4552574283430202
https://www.boxofficemojo.com/movies/?id=kidnap2015.htm,0.15532284336234203,0.6527293211806633,0.2851511522251742,0.13602774364500025,0.8972751585628966,0.8442908907601042,0.4325360366474297,0.828781818316302
https://www.boxofficemojo.com/movies/?id=underworld5.htm,0.29945504485845276,0.18980807413994827,0.05641157448340395,0.015446815933798597,0.9748293552159994,0.7561117621897717,0.16494376566414626,0.808328187463739
https://www.boxofficemojo.com/movies/?id=mountainbetweenus.htm,0.37406939402276795,0.09482404095162944,0.8443452163713461,0.43628215838010287,0.5054112027117624,0.944403799673401,0.6061109705099065,0.9266291741663067
https://www.boxofficemojo.com/movies/?id=life2017.htm,0.7687100027714726,0.8307774358796782,0.44263547970145134,0.9738312790487862,0.5347400656756575,0.9375010438897756,0.2549742631445273,0.8731773188595333
https://www.boxofficemojo.com/movies/?id=itonya.htm,0.8379354237979149,0.7631557164827059,0.22545281002334217,0.4337968264620877,0.503838872347046,0.3044523220705476,0.42864948985104745,0.24060845069071046
https://www.boxofficemojo.com/movies/?id=hostiles.htm,0.9979363986532672,0.3741846058227558,0.8728076094911873,0.7013020715586804,0.84228521415064,0.7284961847858082,0.7209779363787251,0.048000575657445754
https://www.boxofficemojo.com/movies/?id=mollysgame.htm,0.7156414571984058,0.7900241754587035,0.8972672640124405,0.9154373465245454,0.08796288372263072,0.7070548413390022,0.3461223512894509,0.9598458828110615
https://www.boxofficemojo.com/movies/?id=nutjob2.htm,0.21469593645870122,0.45064469971809085,0.8373828814750168,0.6300946686811119,0.8152660115296066,0.2468756474807977,0.20098381860276981,0.4089628350914932
https://www.boxofficemojo.com/movies/?id=rings.htm,0.5627248084841693,0.9446648762458193,0.3194000303205877,0.9922718947181771,0.6896427695412348,0.9003473608509436,0.05292049925755027,0.38269240904762314
https://www.boxofficemojo.com/movies/?id=loganlucky.htm,0.728460512993608,0.3174953266729773,0.8324185601659433,0.5881431076590444,0.3925588350271534,0.8132667864911779,0.45837835029516905,0.4730123635772837
https://www.boxofficemojo.com/movies/?id=homeagain.htm,0.5556675627876276,0.9725253788393047,0.16902498595621485,0.20654345365455573,0.8443593053687235,0.1200404877368193,0.02035085229174327,0.34964608094828664
https://www.boxofficemojo.com/movies/?id=residentevil6.htm,0.2978693285139862,0.6509227183822709,0.16459175968488426,0.4454022335970723,0.8384704574550803,0.5842905070300947,0.3538201740360122,0.8862628314517179
